Wins	Matches	Discord tag	R	Commander	Time Zone	Week 1 Opponents	Week 2 Opponents	Week 3 Opponents	Adversaire 1	Score		Adversaire 2	Score		Adversaire 3	Score		MW%	OMW%	# G	GW	GW%
0	0					  	  	  										0%		0	0	
0	0					  	  	  										0%		0	0	
0	0					  	  	  										0%		0	0	
0	0					  	  	  										0%		0	0	
0	0					  	  	  										0%		0	0	
0	0					  	  	  										0%		0	0	
0	0					  	  	  										0%		0	0	
0	0					  	  	  										0%		0	0	
0	0					  	  	  										0%		0	0	
0	0					  	  	  										0%		0	0	
0	0					  	  	  										0%		0	0	
0	0					  	  	  										0%		0	0	
0	0					  	  	  										0%		0	0	
0	0					  	  	  										0%		0	0	
0	0					  	  	  										0%		0	0	
0	0					  	  	  										0%		0	0	
0	0					  	  	  										0%		0	0	
0	0					  	  	  										0%		0	0	
